#{"t_start": 1753780783.2422848, "env_id": "None"}
r,l,t
0.0,750,2.372839
62.4,750,2.681612
63.6,750,3.039551
53.2,750,3.372078
60.0,750,3.680584
56.37386,134,4.587947
1603.891744,275,4.700817
1535.629247,251,4.809776
-141.584762,54,4.833041
1572.387596,253,4.941458
371.590587,185,5.677186
1456.351794,283,5.80147
-167.942255,56,5.824246
1644.249208,205,5.907274
-159.079785,22,5.916234
148.754839,750,6.922169
152.102752,750,7.307342
90.596698,356,7.468153
-107.352919,108,7.512588
365.429119,750,7.873179
471.084889,750,8.864293
390.705968,750,9.180228
5.690435,214,9.291063
226.43464,750,9.762187
324.199058,563,10.011245
1528.997444,334,10.820915
1609.203961,328,10.968772
1499.386991,328,11.105364
24.059813,164,11.172008
1439.279267,330,11.349993
149.974973,153,12.176022
199.230092,261,12.283937
1450.308385,313,12.411496
252.740056,178,12.484413
-57.339582,198,12.571105
85.69332,218,13.541224
1513.651547,324,13.674166
1560.492082,464,13.86403
175.214191,309,13.998746
448.768569,364,14.149813
220.40745,262,14.977805
610.176242,265,15.086387
-30.283637,216,15.173843
1370.251971,295,15.295983
78.016154,205,15.382888
349.326798,282,16.298527
1591.083133,254,16.403541
309.374431,258,16.527447
88.979652,153,16.611781
26.230594,132,16.671616
1687.107071,334,17.644279
1687.251905,321,17.778467
1484.473589,418,17.970037
1707.536361,279,18.085698
170.369875,176,18.158905
126.735404,183,19.110739
86.535009,144,19.168919
1506.425422,307,19.300141
1537.794842,248,19.400298
516.690022,306,19.530595
343.416691,324,20.596504
1559.454353,230,20.691585
200.874893,302,20.815717
1347.468943,280,20.931985
41.909096,234,21.047458
1503.791271,243,22.023306
1462.376045,255,22.127642
1410.015995,303,22.250701
406.441278,214,22.33887
1501.695475,249,22.44296
1691.425344,276,23.401218
165.788284,186,23.492412
1329.301191,287,23.616262
1433.371943,300,23.73942
1538.687473,232,23.870295
1438.900144,296,24.907831
2.167571,129,24.960063
1433.287697,240,25.064505
1622.536013,253,25.167931
1429.691153,263,25.281976
231.132697,164,26.242308
-11.746706,124,26.292251
1499.188118,214,26.38138
1476.145333,287,26.498173
1411.763338,215,26.588123
559.076598,264,27.631879
1536.438259,224,27.723889
1357.097055,241,27.835691
90.919659,171,27.907728
1533.734918,240,28.008972
100.772528,139,28.997324
1516.95123,220,29.087792
17.013279,101,29.134071
-71.083444,77,29.16527
1401.166839,255,29.270581
1498.549768,226,30.471112
1454.677889,267,30.57963
253.618221,161,30.649107
373.620219,216,30.737578
1559.647738,216,30.825229
484.875618,255,31.898399
64.189497,95,31.954789
346.294627,250,32.07939
86.055502,128,32.135852
84.88756,104,32.179249
128.818262,153,33.220803
499.714995,234,33.317646
1507.878031,253,33.424932
-75.440092,72,33.457501
372.124875,226,33.570259
1685.629817,228,34.604249
1456.178857,249,34.709873
1213.854914,321,34.851986
1433.116592,229,34.970214
1376.363783,257,35.076578
155.090221,126,36.105209
-93.300396,71,36.134644
1285.695015,290,36.259099
274.865047,198,36.341611
1394.398044,266,36.450982
-94.027785,87,37.491182
205.55267,144,37.549867
92.586023,212,37.637772
1324.371822,234,37.733617
1504.050597,185,37.824415
1473.179045,234,38.888388
1414.837082,252,38.993001
1442.34843,251,39.09407
21.838011,125,39.146164
304.961159,129,39.199337
-22.962577,104,40.359367
1399.334334,214,40.576704
383.78292,189,40.657801
1556.614756,213,40.80059
1565.588186,229,40.913396
1464.678457,214,41.945086
1393.825333,277,42.113917
1380.498184,228,42.208647
1388.089358,262,42.33775
-27.427769,94,42.379126
290.864055,205,43.415526
-41.81611,82,43.449161
-88.17638,54,43.471466
258.13678,218,43.561904
86.142263,115,43.629699
1395.799923,257,44.672564
455.971216,215,44.767547
1611.038686,244,44.87779
-80.449742,55,44.903919
1470.20581,281,45.060024
1428.424203,246,46.113766
1561.612202,260,46.223629
1490.060959,282,46.361022
1458.393507,213,46.460027
1413.621661,247,46.580281
187.575989,150,47.643295
1407.450521,218,47.733787
1451.165311,208,47.833473
1348.117049,253,47.939008
1525.594523,235,48.046362
1701.044081,750,49.318302
1305.976584,233,49.439383
57.071745,127,49.506433
-46.377072,90,49.543092
-60.397275,72,49.576421
-52.566358,117,50.537977
110.407468,115,50.609242
1511.18516,212,50.775464
1476.363686,166,50.856047
1450.854066,232,50.959323
-61.326752,79,52.03673
-13.540697,88,52.07718
-103.237249,45,52.095909
214.125065,185,52.172684
1387.690819,231,52.307558
190.042268,173,53.292988
1490.746006,208,53.426236
1.796039,95,53.467238
1492.766899,207,53.558682
4.314278,111,53.607689
108.689286,131,54.609539
204.091177,182,54.68544
-75.517012,72,54.716019
1344.308852,252,54.820446
1436.811114,225,54.919077
1401.572438,254,55.992465
1467.306104,201,56.075615
1459.867115,256,56.181438
1554.717279,251,56.284732
-78.005166,82,56.319577
262.161819,183,57.386114
-24.850233,94,57.436225
-73.862523,62,57.461734
-48.36831,66,57.504269
1401.591106,241,57.664944
1701.330391,750,58.913229
1704.242566,750,59.218767
1699.636292,750,59.5308
1699.755593,750,59.909293
1703.93073,750,60.227075
-10.441482,73,61.288892
1707.243628,226,61.382052
-95.125457,63,61.407601
1399.485718,225,61.498729
121.865201,142,61.56258
1362.04596,220,62.684939
-57.116958,62,62.711684
1489.028482,244,62.814518
28.594626,87,62.851302
1401.221241,220,62.957534
1369.835802,234,64.034548
173.138271,99,64.074628
-118.148769,52,64.095601
-56.809063,59,64.120895
458.360088,228,64.213317
1442.564417,220,65.260741
1504.569086,208,65.351743
251.197856,225,65.442073
-17.018019,111,65.488013
1523.624066,233,65.586947
1414.009564,235,66.639572
6.705479,105,66.682842
314.477394,215,66.777433
98.387084,146,66.837625
39.48829,89,66.873431
1471.211109,200,67.942186
1493.984408,232,68.047063
